Name,Role,Tags,Areas of Specialism
Dr John O'Hare,Founder & Chief Hallucination Officer,AI & LLMs | Agentic Systems | Unreal Engine | Immersive | Multi-Agent Orchestration | Creative Technology,AI | Workflows & Automation | Product Development | Realtime & Games | Virtual Production | Application Development | Training | Creative Services | Data and Intelligence | Unreal Engine | ComfyUI
Ste Moyler,Chief Creative Officer,Art Direction | Film & Content | Brand Storytelling | AR / VR | Creative Direction | Animation,Creative Services | Workflows & Automation | Film & VFX | Design | Training | Animation | Virtual Production | Immersive Experiences
Pete Woodbridge,Founder & Chief Technical Officer,Creative AI Workflows | Software & Tool Development | Immersive Experiences | Prototyping | Product Development | Virtual Production,Creative Services | Workflows & Automation | Product Development | AI | Realtime & Games | Virtual Production | Film & VFX | Application Development | Training | Design | Data and Intelligence | Technical Art | Unreal Engine | ComfyUI | Immersive Experiences
Jing Li,Creative AI · Eurasia Pacific,Creative AI | Data Science | Responsible AI | Community | Generative Tools | AI Equity,AI | Workflows & Automation | Data and Intelligence | Creative Services | Training | ComfyUI
Dr Derek Hales,Cyberphysical Pataphysicist,Digital Twins | Design Fiction | Speculative Tech | R&D | XR Architecture | Open Innovation,Product Development | Design | Data and Intelligence | Application Development | Film & VFX | Creative Services | Immersive Experiences
Arpana Nandakumar,Alternate Realities Sorceress & Public Engagement,Immersive Experiences | Haptics | Public Engagement | Training | AI Workflows | Mixed Reality,Realtime & Games | Virtual Production | Creative Services | Training | AI | Immersive Experiences
Bernard Steer,Spatial Audio Consultant,Spatial Audio | Dolby Atmos | Post-Production | Avid Certified | Pro Tools | DTS-X,Creative Services | Film & VFX | Training | Music & Sound
Noelle Nurdin,Immersive Hyperpop Producer & Spatial Audio,Spatial Audio | Music Production | AV Installation | TouchDesigner | Immersive Audio | Live Performance,Creative Services | Design | Music & Sound | Immersive Experiences
JunkieJarvis,Agentic Chief Operating Officer,Agentic AI | Operations | Multi-Agent | Decision-Making | AI Leadership | LLM Orchestration,AI | Workflows & Automation
Annabeth Robinson,Creative Technologist,Serious Games | Immersive Learning | Animation | Digital Education | Game Platforms | Research,Realtime & Games | Animation | Training | Creative Services | Film & VFX | Immersive Experiences
